year,adm_1,best
#date+year,#adm1+name,#affected+killed
2021,Amhara state,2
2021,Amhara state,1
2021,Amhara state,6
2021,Amhara state,1
2021,Amhara state,1
2021,Tigray state,28
2021,Tigray state,10
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,15
2021,Tigray state,24
2021,Tigray state,21
2021,Tigray state,1
2021,Afar state,1
1989,Tigray province,272
1989,Tigray province,137
1989,Tigray province,9000
1989,Tigray province,82
1989,Tigray province,210
1989,Tigray province,210
1989,Tigray province,1
1989,Tigray province,3
1989,Tigray province,164
1989,Begemder province,10
1989,Tigray province,56
1989,Tigray province,15
1989,Begemder province,35
1989,Begemder province,35
1989,Wollo province,1025
1989,Begemder province,432
1989,Wollo province,1
1989,Tigray province,148
1989,Wollo province,21
1989,Begemder province,41
1989,Wollo province,1
1989,Wollo province,37
1989,Tigray province,3
1989,Begemder province,53
1989,Tigray province,2
1989,Tigray province,3
1989,Wollo province,550
1989,Wollo province,310
1989,Begemder province,560
1989,Wollo province,178
1989,Wollo province,179
1989,Wollo province,179
1989,Wollo province,2000
1989,Wollo province,300
1989,Tigray province,31
1989,Begemder province,250
1989,Shewa province,1
1989,Tigray province,31
1989,Begemder province,1800
1990,Wollo province,2
1990,Wollo province,1
1990,Begemder province,23
1990,Wollo province,1337
1990,Wollo province,1336
1990,Wollo province,32
1990,Begemder province,3912
1990,Wollo province,7
1990,Begemder province,15
1990,Wollo province,40
1990,Wollo province,2
1990,Wollo province,703
1990,Begemder province,3
1990,Wollo province,1813
1990,Gojjam province,710
1990,Begemder province,320
1990,Shewa province,721
1990,Shewa province,151
1990,Shewa province,870
1990,,150
1990,Shewa province,507
1990,Begemder province,46
1990,Shewa province,500
1990,Shewa province,200
1990,,2
1990,Shewa province,4
1990,Shewa province,3
1990,Shewa province,3
1990,Shewa province,21
1990,Shewa province,1400
1990,Wollo province,1594
1990,Shewa province,210
1990,Shewa province,1200
1990,Shewa province,23
1990,Shewa province,297
1990,Shewa province,298
1990,Wollo province,2
1990,Wollo province,3
1990,Shewa province,4
1990,Wollo province,8
1990,Wollo province,1
1990,Wollo province,7
1990,Begemder province,15
1990,Tigray province,154
1990,Wollo province,155
1990,Shewa province,152
1990,Begemder province,19
1990,Wollo province,9
1991,Wollo province,138
1991,Begemder province,2
1991,Begemder province,200
1991,Shewa province,978
1991,Wollo province,1250
1991,Tigray province,98
1991,Tigray province,30
1991,Gojjam province,6
1991,Gojjam province,1
1991,Shewa province,850
1991,Tigray province,15
1991,Shewa province,350
1989,Shewa province,27
1989,Shewa province,3
1989,Eritrea province,6
1989,Shewa province,1
1989,Eritrea province,22
1989,Eritrea province,2285
1989,Eritrea province,1
1989,Eritrea province,3050
1989,Eritrea province,2
1989,Eritrea province,146
1989,Eritrea province,45
1989,Eritrea province,206
1989,Eritrea province,85
1989,Eritrea province,88
1990,Eritrea province,200
1990,Eritrea province,600
1990,Eritrea province,60
1990,Eritrea province,1500
1990,Eritrea province,180
1990,Eritrea province,5300
1990,Eritrea province,16
1990,Eritrea province,30
1990,Eritrea province,51
1990,Eritrea province,41
1990,Eritrea province,1500
1990,Eritrea province,6500
1990,Eritrea province,12
1990,Eritrea province,50
1990,Eritrea province,600
1990,Eritrea province,2
1990,Eritrea province,7000
1990,Eritrea province,700
1990,Eritrea province,1300
1990,Eritrea province,1
1990,Eritrea province,700
1990,Eritrea province,17
1990,Eritrea province,88
1990,Eritrea province,500
1990,Eritrea province,500
1990,Eritrea province,1420
1990,Eritrea province,140
1990,Eritrea province,3
1990,Eritrea province,2
1990,Eritrea province,270
1990,Eritrea province,1350
1991,Eritrea province,3
1991,Eritrea province,1000
1991,Eritrea province,1
1991,Tigray province,900
1991,Eritrea province,2400
1991,Eritrea province,3
1991,Eritrea province,2000
1991,Eritrea province,300
1991,Eritrea province,300
1993,Hararghe province,35
1993,Hararghe province,1
1994,Hararghe province,1
1996,Addis Ababa Chartered city,2
1999,Somali state,25
1999,Somali state,0
1999,Somali state,0
1994,Hararghe province,50
1995,Somali state,2
1995,Somali state,0
1995,Somali state,12
1996,Somali state,8
1996,Somali state,17
1998,Somali state,19
1998,Somali state,3
1998,Somali state,0
1998,Somali state,0
1998,Somali state,1
1998,Somali state,1
1998,Somali state,1
1999,Somali state,25
1999,Somali state,0
1999,Somali state,0
1999,Oromiya state,0
2000,Somali state,0
2000,Somali state,25
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2000,Somali state,0
2001,Somali state,0
2001,Somali state,2
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,23
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2001,Somali state,0
2002,Somali state,25
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Harari state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2002,Somali state,0
2003,Somali state,0
2003,Somali state,25
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2003,Somali state,0
2004,Somali state,25
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
